Period,Group,Valence Electrons, Adsorption Energy, Surface
1,1,4.481404747,-1.926026512,Pt6Sc6
1,3,6.299605249,-1.624789554,Pt6V6
1,4,7.113786609,-1.173692702,Cr6Pt6
1,5,7.883735163,1.94565177,Mn6Pt6
1,6,8.61773876,0.231125875,Fe6Pt6
1,7,9.321697518,0.425774074,Co6Pt6
1,8,10,0.634917914,Ni6Pt6
1,9,10.65602237,1.170693735,Cu6Pt6
1,10,11.29243235,1.023988185,Pt6Zn6
2,1,3,-1.907761551,Pt6Y6
2,2,4,-2.558963845,Pt6Zr6
2,3,6.299605249,-1.705604234,Nb6Pt6
2,4,7.113786609,-1.234992602,Mo6Pt6
2,5,7.883735163,-0.452070339,Pt6Tc6
2,6,8.61773876,0.214804895,Pt6Ru6
2,7,9.321697518,0.720528056,Pt6Rh6
2,8,10,1.272994797,Pd6Pt6
2,9,10.32280115,1.267181493,Ag6Pt6
2,10,11.29243235,1.4217012,Cd6Pt6
3,1,3,-2.123916947,La6Pt6
3,2,4,-2.864514624,Hf6Pt6
3,3,6.299605249,-1.946600359,Pt6Ta6
3,4,7.113786609,-1.399855221,Pt6W6
3,5,7.883735163,-0.650947187,Pt6Re6
3,6,8.61773876,0.140297541,Os6Pt6
3,7,9.321697518,0.725065691,Ir6Pt6
3,8,10,1.417018665,Pt12
3,9,10.32280115,1.678456389,Au6Pt6
3,10,11.29243235,2.002607237,Hg6Pt6
