Valence Electrons, Adsorption Energy, Surface
5,-0.028206232,Hf6V6
6,-0.02759969,Cr6Hf6
6,-0.02759969,Cr6Hf6
6,-0.02759969,Cr6Hf6
6.480740698,-0.020136152,Cr6Mn6
6,-0.012815337,Cr6Mn6
6,0.077084136,Cr6Zr6
7,0.102673449,Tc6Y6
5,0.128615422,V6Zr6
8,0.177241485,Os6Y6
7,0.264096549,Re6Zr6
4.898979486,0.292246181,Hf6Mo6
7,0.294637926,Hf6Re6
6,0.334450221,Cr6Ta6
5,0.334540971,La6V6
5,0.336639513,Ta6V6
6,0.347093718,Cr6Ti6
8,0.387308606,Os6Sc6
6,0.398795212,Mo6Zr6
7,0.42815371,Sc6Tc6
5,0.439420039,Ta12
7,0.47454599,Re6Ti6
6,0.493712736,Cr6La6
6,0.503803942,Cr6Nb6
4.762203156,0.519909544,W6Y6
4,0.526317144,La6Ti6
6,0.561387312,W12
6,0.571370488,Cr6Sc6
6.633249581,0.587037715,Cu6Hf6
4,0.618295023,Ti6Y6
6.480740698,0.660295386,Mn6W6
8,0.662904005,Fe6Hf6
4.217163327,0.677259507,La6Ta6
8,0.685548911,Fe6Ta6
6.633249581,0.687920655,Cu6Zr6
6,0.708916143,Cr6W6
7,0.710603657,Tc6Zr6
8,0.71299336,Fe6Zr6
6,0.721671343,W12
5,0.728154183,Nb12
6,0.734244771,Mo6Y6
8,0.739325,Ru6Y6
8,0.74276724,Fe6Y6
6.480740698,0.74381379,Cr6Re6
5,0.752288639,Ta12
7,0.765883583,Hf6Tc6
7,0.771900972,Re6Ta6
7,0.772304109,Mn6Zr6
6,0.775008784,La6Mo6
4.641588834,0.775250694,Hf6Ta6
9,0.782355178,Co6Y6
7,0.796065906,Nb6Re6
4.641588834,0.800998921,Hf6Ta6
4.217163327,0.807804216,Sc6V6
7,0.821817535,La6Tc6
4.641588834,0.828190305,Ta6Zr6
10,0.83620052,Ni6Zr6
5.241482788,0.838442738,Hf6W6
3.634241186,0.843876579,Hf6Y6
10,0.844061617,Hf6Ni6
9,0.846466967,Co6Zr6
4.217163327,0.849913697,Ta6Y6
5.313292846,0.850687044,Ta6W6
5,0.850889497,La6Ta6
7,0.85265606,Mn6Nb6
5.646216173,0.858442289,Ta6W6
4.217163327,0.859268562,Sc6Ta6
4.762203156,0.859952929,Sc6W6
4.217163327,0.865816166,Nb6Y6
6.480740698,0.871421847,Cr6Tc6
7,0.87177369,Re6V6
7,0.881301892,Mn6Ta6
5,0.88328084,V12
4.641588834,0.891511059,Ta6Zr6
9,0.904207891,Co6Hf6
5.241482788,0.905181922,Hf6W6
7,0.907120053,Mn6Y6
5,0.910632907,Nb12
5,0.916639275,Nb6Ta6
5.241482788,0.919152927,W6Zr6
3.634241186,0.920388188,Sc6Ti6
5.241482788,0.928066832,W6Zr6
3.634241186,0.930602661,Hf6La6
5.646216173,0.931442132,Nb6W6
7,0.943558137,Tc6Ti6
4,0.943924402,Hf6Ti6
9,0.944078146,Co6Sc6
9,0.944078146,Co6Sc6
9,0.944078146,Co6Sc6
5,0.94797332,La6Nb6
4,0.950402208,Hf12
8,0.960501985,Ru6Sc6
4.641588834,0.967880216,Ta6Ti6
6.649399761,0.976904735,Re6W6
6,0.977673185,Cr12
6,0.981514752,Mo6W6
5.646216173,0.99020049,V6W6
6,0.99134296,Mo6Ta6
4,0.994543291,Ti6Zr6
6,0.994858126,Mo6W6
4.30886938,0.995830661,Hf6Ta6
4.762203156,0.996561287,Sc6W6
6.649399761,1.00163172,Re6W6
5.277632088,1.003657608,Re6Sc6
5,1.008863553,V12
6.92820323,1.009584383,Hf6Zn6
8,1.011314347,Hf6Os6
5.646216173,1.015992936,Ta6W6
5.646216173,1.026734902,Nb6W6
6.316359598,1.030438371,Mn6W6
4.217163327,1.030446399,Sc6Ta6
6,1.035228119,Mo6W6
3.634241186,1.043287042,Hf6Sc6
5.241482788,1.048611766,Ti6W6
4.57885697,1.051206508,Hf6W6
4.30886938,1.053284641,Ta6Ti6
6.316359598,1.065566907,Tc6W6
4.30886938,1.06621032,Hf6Nb6
4.641588834,1.070116651,Ta6Ti6
6,1.070740336,Cr12
4.641588834,1.073717397,Hf6Nb6
4.762203156,1.077728899,Mo6Sc6
4.762203156,1.077728899,Mo6Sc6
4.762203156,1.077728899,Mo6Sc6
4.472135955,1.079685262,V6Zr6
6,1.083346689,Mo12
5.916079783,1.086538993,Re6V6
6,1.086712465,Mo6W6
4.641588834,1.087564046,Hf6Nb6
3,1.087686361,La6Sc6
6.649399761,1.090090487,Mo6Re6
8,1.090861793,Os6Zr6
5,1.09162276,Nb6V6
5.313292846,1.092159368,Nb6W6
3.634241186,1.092251343,Y6Zr6
4.641588834,1.095834266,Ti6V6
5.313292846,1.09705524,Ta6W6
9,1.102603778,Co6Ti6
8,1.109903639,Os6Ti6
4,1.114136778,Hf6Zr6
6.92820323,1.114628352,Zn6Zr6
6,1.115912865,Cr6Mo6
4,1.11796093,Hf12
5.241482788,1.120758533,Ti6W6
5.313292846,1.120788601,V6W6
6.649399761,1.121699638,Cr6Re6
8,1.122265227,Fe6La6
9,1.125890736,Co6La6
4.641588834,1.130512317,Ti6V6
6,1.131058041,Tc6W6
8,1.13197765,La6Ru6
6,1.134830764,Mo12
4.641588834,1.13549581,Nb6Zr6
5,1.136454603,Nb6Y6
4,1.137666598,Hf6Ti6
3,1.138339808,Sc6Y6
5,1.140747471,Nb6Ta6
6.649399761,1.148073184,Mo6Re6
4,1.148158627,Ti6Zr6
3.634241186,1.15773513,Hf6Y6
