Valence Electrons,Sublimation Energy,Valence Electrons,Sublimation Energy,Valence Electrons,Sublimation Energy
3d,3d,4d,4d,5d,5d
3,334,3,391.4,3,406.2
4,443.7,4,601,4,655.5
5,475.8,5,716.8,5,771
6,359.5,6,636,6,835
7,,7,573,7,738
8,,8,605.7,8,661
9,391.2,9,516.7,9,586
10,,10,396.7,10,510
11,313.1,11,266.3,11,342.5
12,126.35,12,106.3,12,
